variable,missing_count,missing_pct,critical
mean_saccade_amplitude,969,51.93,False
n_saccades,969,51.93,False
mean_peak_velocity,969,51.93,False
mean_saccade_velocity,969,51.93,False
mean_saccade_duration,969,51.93,False
total_fixation_duration_other,626,33.55,False
time_to_first_fixation_other,626,33.55,False
n_fixations_other,626,33.55,False
mean_fixation_duration_other,626,33.55,False
time_to_first_fixation_subject,48,2.57,False
n_fixations_subject,48,2.57,False
mean_fixation_duration_subject,48,2.57,False
total_fixation_duration_subject,48,2.57,False
n_fixations_object,32,1.71,False
total_fixation_duration_object,32,1.71,False
mean_fixation_duration_object,32,1.71,False
time_to_first_fixation_object,32,1.71,False
stim_id,0,0.0,False
TRIAL_INDEX,0,0.0,True
sentence,0,0.0,True
voice_id,0,0.0,True
image_id,0,0.0,False
merge_key,0,0.0,False
trial_duration,0,0.0,False
total_trial_duration,0,0.0,False
mean_fixation_duration,0,0.0,False
total_trial_fixations,0,0.0,False
trial_start_time,0,0.0,False
trial_end_time,0,0.0,False
trial_id,0,0.0,False
participant_id,0,0.0,True
